posX,posY,depth,count
39,5,9,31
45,13,2,9
35,14,3,16
39,17,7,30
49,21,2,10
49,21,2,9
45,24,6,33
6,27,6,24
8,35,4,27
20,38,9,39
6,42,8,42
0,46,9,46
6,55,9,33
10,56,2,9
13,20,1,3
45,27,1,4
41,35,5,28
1799,40,5,26
1799,40,5,23
0,46,9,34
0,46,9,46
39,49,1,4
20,64,10,32
6,68,6,24
13,59,8,28
45,64,6,30
1799,65,2,10
39,68,5,25
0,69,3,17
0,69,3,16
1799,69,3,16
41,72,9,29
1799,73,8,40
41,75,10,29
41,78,7,40
41,78,7,34
41,82,9,32
41,84,5,23
41,84,5,22
41,86,10,47
41,86,10,44
39,90,5,21
41,93,2,9
41,93,2,9
41,94,1,4
41,94,1,4
39,119,9,29
39,139,2,8
49,156,2,8
49,174,6,29
49,189,5,28
49,190,3,12
112,47,5,29
47,56,8,39
47,72,9,41
47,72,9,31
47,97,9,32
47,171,5,31
47,204,1,4
37,209,3,18
47,215,1,4
48,76,5,27
47,78,1,4
6,84,8,33
6,92,6,23
8,130,3,12
8,146,4,19
8,185,5,22
14,240,3,18
8,246,1,4
14,336,5,25
14,338,6,30
14,341,5,31
14,353,8,32
14,488,5,21
14,542,5,24
14,592,7,40
14,847,2,8
14,874,5,31
14,971,5,26
14,1008,6,25
14,1238,4,22
14,1704,1,3
14,1995,3,16
14,2222,4,25
14,2527,3,17
14,2732,3,16
15,113,1,3
14,1092,4,19
14,1168,4,18
14,1321,3,13
14,1385,4,24
14,1609,2,7
14,1703,2,8
15,119,3,18
15,191,2,8
15,206,2,10
15,1806,2,8
15,1863,2,11
14,1998,4,20
14,2775,3,18
14,3409,2,9
15,79,1,3
15,274,2,7
14,505,6,32
14,1267,6,33
15,722,3,15
14,1659,3,13
15,1080,1,4
15,2258,2,10
15,2729,1,5
1764,165,1,4
1764,170,2,8
1764,179,10,37
1764,181,5,33
1764,187,5,26
1764,190,3,15
1764,395,4,22
1764,416,1,4
1765,232,1,5
1764,405,5,26
1764,523,4,26
1764,529,2,10
1764,669,2,9
1764,833,3,13
1764,887,2,11
1764,940,2,8
1764,1224,2,7
1764,1234,3,13
1764,1362,1,5
1764,1429,1,4
1764,1612,3,17
1764,1695,2,11
1764,1706,1,5
1765,144,1,3
1765,149,2,7
1765,460,1,5
1764,483,5,21
1765,515,2,9
1765,528,2,8
1765,558,2,10
14,1401,5,30
14,1509,3,16
15,177,4,20
14,854,5,27
14,888,7,40
14,1076,7,39
15,1854,2,11
15,1982,2,11
15,2002,2,9
14,2566,3,18
15,1931,2,7
15,2033,2,7
14,2041,6,34
14,2073,6,31
14,2213,5,29
14,2225,5,23
14,2268,5,30
14,2341,6,36
14,2530,5,23
14,2678,5,25
14,2734,5,24
14,2853,4,20
14,2898,5,31
14,3101,5,25
14,3103,7,34
14,3388,3,14
15,212,4,22
15,745,4,23
15,761,1,5
15,871,2,11
15,967,3,18
14,978,7,33
14,1080,7,35
15,1281,1,3
15,2205,4,20
15,2582,4,20
15,2887,2,9
14,2955,4,23
15,1228,1,4
15,1276,2,11
15,1428,1,4
15,2355,4,22
15,2775,3,13
15,2956,3,16
15,3241,1,4
15,3306,3,18
15,3349,1,4
61,50,10,45
61,104,10,39
4,186,5,28
62,235,4,26
61,243,8,36
4,267,9,32
4,287,10,39
71,12,10,47
15,14,8,39
15,19,7,25
1752,64,9,39
0,69,3,16
15,79,1,4
1752,80,2,8
1752,87,7,39
15,113,1,5
1752,123,2,10
1752,133,8,34
1752,148,7,39
15,157,5,26
15,177,4,24
15,191,2,10
15,198,6,27
15,206,2,8
16,113,2,7
15,119,3,15
15,212,4,18
15,213,10,39
1752,214,4,26
0,249,7,31
15,271,7,34
15,274,2,11
1758,290,10,35
4,300,3,16
4,317,3,15
8,332,2,8
4,349,2,8
8,367,1,4
71,297,10,29
1752,316,2,7
1752,324,5,27
1752,348,3,12
1752,351,4,19
1758,367,3,16
0,376,5,25
1752,437,5,22
0,439,7,26
15,507,4,22
1752,626,3,18
1758,687,4,27
0,730,4,23
15,722,3,15
15,745,4,28
15,761,1,5
1758,786,3,18
1752,796,1,4
0,841,3,15
15,817,4,20
15,818,4,22
15,822,3,16
15,842,3,13
15,847,4,27
15,850,6,35
15,871,2,9
1752,897,4,23
15,967,3,12
15,974,6,30
15,987,4,23
1752,998,1,3
1752,1013,1,5
1752,1026,1,4
15,1080,1,3
15,1090,3,13
1752,1150,1,5
1753,127,2,8
1753,433,2,11
1753,825,1,3
1758,1128,3,15
15,1168,5,27
1758,1211,3,17
15,1228,1,3
15,1276,2,9
15,1281,1,5
16,1145,1,3
16,1241,1,4
15,1339,3,17
1752,1377,1,5
1753,772,1,3
1753,978,1,5
1753,1256,2,9
0,1258,3,12
1752,1350,2,11
1753,1416,1,4
0,1587,3,14
1,349,2,8
1,369,2,8
1,441,2,11
0,1028,6,34
0,1422,3,16
1,931,3,16
1,943,3,16
1,1155,2,7
2,658,2,9
0,1075,4,20
1,1082,2,8
0,1124,4,27
1,1361,2,11
0,1555,4,20
0,1649,4,27
0,1707,3,16
1,1152,2,10
2,480,3,18
0,766,5,26
2,753,3,18
2,811,2,10
2,832,2,8
1752,1717,1,3
1754,100,1,5
2,117,10,40
2,753,3,18
2,757,4,22
3,151,4,21
3,379,4,20
2,445,4,20
3,684,4,25
2,710,4,27
2,840,4,28
2,876,5,28
2,1032,5,33
1758,1571,2,8
1759,382,3,17
8,506,4,27
62,385,3,17
61,406,9,38
61,462,10,40
61,484,10,46
61,519,8,34
61,546,9,30
61,644,9,40
61,894,9,33
61,1071,9,38
62,1096,3,17
62,1163,1,4
60,1526,10,30
60,1666,9,37
61,725,8,36
61,1009,7,32
61,1104,7,32
61,1485,7,26
61,1588,5,28
60,1677,9,30
60,1743,10,46
62,161,6,28
62,224,5,22
63,264,1,3
61,1590,6,28
62,450,6,34
62,993,2,7
61,1077,7,32
62,152,5,30
62,476,4,20
62,1183,2,9
62,1437,2,9
63,412,2,9
4,433,6,24
4,480,1,4
4,514,3,18
4,520,1,3
4,753,4,25
4,819,2,8
62,933,4,24
63,374,2,8
4,1221,1,4
5,127,2,8
5,195,1,5
4,869,3,14
4,877,4,24
4,1165,2,11
62,1233,4,23
1810,1342,9,37
4,1463,1,5
4,1473,1,3
5,121,1,3
112,221,4,20
39,236,4,25
39,240,9,46
116,242,4,27
1799,197,8,28
1799,242,4,23
104,261,10,31
112,271,4,23
47,272,5,28
1799,278,4,28
39,282,5,22
47,296,2,9
1800,315,3,13
1801,48,2,11
49,156,2,8
49,174,6,31
49,189,5,22
49,190,3,17
50,7,1,5
50,216,1,4
1799,241,8,27
1799,259,6,26
1799,317,7,31
49,346,3,15
49,346,3,15
39,363,1,4
49,375,1,4
49,375,1,3
49,376,1,3
49,376,1,5
49,472,1,5
49,486,1,3
49,535,3,18
104,377,10,37
39,404,6,36
39,479,5,27
39,498,4,19
39,504,5,23
111,527,8,39
1799,545,5,29
39,552,2,8
39,590,4,18
39,608,5,21
39,637,4,24
1799,641,5,23
39,643,2,9
39,665,3,15
39,686,2,8
1793,708,4,23
39,730,1,4
104,732,8,43
1799,756,4,21
39,778,3,18
39,780,5,22
39,798,5,31
111,1210,6,28
112,48,6,23
111,405,9,37
111,407,10,35
111,623,8,42
111,944,8,29
112,378,6,31
47,433,2,10
112,542,5,30
47,603,3,15
112,613,7,30
47,674,1,4
111,713,10,44
47,803,1,5
112,875,5,31
47,880,3,13
112,898,6,29
47,962,2,9
47,979,3,13
112,1013,5,30
112,1068,3,14
112,1093,3,16
112,1317,3,17
111,1511,6,30
112,1675,2,7
113,73,2,8
113,185,2,8
113,207,1,5
113,263,1,3
113,880,1,4
111,1178,8,35
111,1513,6,31
112,1139,5,31
111,1681,7,34
113,1003,2,10
47,1037,2,8
113,1050,2,9
1861,520,7,41
47,1062,3,12
111,1185,8,34
47,1188,2,11
47,1191,3,18
47,1207,4,19
47,1358,1,4
112,1406,4,22
1797,134,9,28
1797,387,4,18
1798,90,2,10
47,97,9,39
47,102,8,41
1797,115,10,39
47,119,5,21
47,169,4,27
47,181,3,14
47,204,1,3
47,215,1,3
48,620,3,13
47,779,6,36
47,1068,5,27
47,1081,5,30
47,1128,5,31
49,346,3,18
47,1126,5,30
47,1215,5,31
1799,1230,4,23
1799,1259,4,22
1799,1493,4,27
1799,1563,3,16
1800,17,4,24
1800,109,3,16
1800,509,4,25
49,644,2,11
49,649,2,11
1800,688,4,22
1800,928,4,22
1800,1274,3,12
1801,312,1,3
49,547,4,25
49,652,3,16
1800,715,4,28
49,1272,2,7
50,45,1,4
1799,65,2,9
1799,69,3,16
1799,73,8,41
49,751,4,24
51,169,1,5
1799,170,10,45
1799,197,8,32
1799,242,4,27
1799,278,4,23
1799,416,1,4
1799,500,2,7
1799,552,1,3
1799,665,4,23
1799,675,2,8
1799,700,4,20
1799,767,1,5
1799,906,2,7
1800,964,1,5
1799,1438,1,4
1800,408,1,5
1799,695,2,10
1799,854,1,3
49,862,5,22
1799,913,2,7
1799,981,2,7
1799,1101,2,8
49,1292,3,14
49,1301,4,22
1799,1477,1,5
1799,1514,1,3
1800,317,2,11
1799,446,4,19
1799,449,4,26
1800,560,1,3
1799,693,5,24
1800,1017,1,3
1799,1144,3,12
1799,1346,3,17
1799,1360,3,17
1799,1460,2,8
1799,1545,2,7
49,1583,2,11
50,169,3,14
51,459,1,3
49,1344,1,4
50,1471,1,5
51,495,1,5
49,645,5,33
49,1056,6,37
50,1656,2,9
49,1809,9,40
109,448,9,44
111,119,3,16
109,479,9,28
110,67,7,25
43,74,8,41
43,74,8,41
43,74,8,35
43,85,4,19
43,88,10,29
43,110,5,33
43,145,3,12
43,156,9,34
43,275,3,15
43,279,1,4
43,295,3,17
43,335,4,27
43,354,1,5
43,367,5,31
43,528,2,10
43,538,2,9
43,632,1,4
43,729,4,28
43,1083,1,3
43,1446,2,8
43,3460,2,11
44,62,1,3
44,71,1,3
1793,106,4,18
1793,128,6,26
1793,139,7,32
1793,166,3,12
1793,191,5,23
1793,196,3,12
44,209,1,4
44,341,1,3
44,350,1,5
1793,368,4,20
44,659,3,12
43,703,1,5
44,381,1,4
1793,425,4,23
