posX,posY,depth,avgCount
0,46,9,42
0,69,3,16.5
0,95,7,32.75
0,99,1,4
0,102,7,38.6666666666667
0,121,3,15.5
0,205,4,24.6666666666667
0,213,5,25.3333333333333
0,215,5,25
0,228,4,20.6666666666667
0,245,1,4
0,249,7,31.6666666666667
0,311,8,41
0,376,5,25
0,403,3,12.75
0,424,2,9
0,428,4,21.25
0,436,1,4.25
0,439,7,35.3333333333333
0,532,2,9.75
0,630,3,14.75
0,669,6,27
0,701,1,4
0,730,4,22
0,766,5,27.5
0,781,2,8.25
0,809,7,25
0,841,3,15.25
0,848,1,4.5
0,923,1,3.66666666666667
0,1028,6,31.5
0,1074,6,23
0,1075,4,21.6666666666667
0,1103,7,38
0,1124,4,22.75
0,1216,6,31
0,1257,6,37
0,1258,3,13.75
0,1283,1,3.33333333333333
0,1422,3,16
0,1441,3,13.3333333333333
0,1480,1,4.33333333333333
0,1539,1,4.25
0,1555,4,21.6666666666667
0,1587,3,13.6666666666667
0,1611,2,9.33333333333333
0,1622,1,4.5
0,1628,2,9
0,1645,2,9.66666666666667
0,1649,4,24
0,1707,3,15
0,1739,5,29
0,1779,4,22.5
0,1790,6,32.5
0,1880,1,4
0,1942,5,32
0,1993,9,46
0,2008,1,4
0,2044,3,16
0,2047,4,22.75
0,2072,5,30
0,2079,4,26
0,2146,4,26
0,2171,5,26.3333333333333
0,2178,8,34
0,2237,1,4
0,2294,7,28
0,2296,1,4.25
0,2313,2,9
0,2338,1,3.5
0,2430,5,30.5
0,2448,3,14.6666666666667
0,2475,5,27
0,2522,5,31
0,2531,2,8.25
0,2540,2,8.75
0,2673,2,8.75
0,2702,2,10.5
0,2712,4,25
0,2884,5,23.5
0,2893,3,14
0,2904,3,17.3333333333333
0,2913,4,23
0,2921,1,4.25
0,2960,2,8.5
0,2968,3,17.3333333333333
0,2983,1,3.75
0,3004,3,15.75
0,3020,2,10
0,3051,4,25.6666666666667
0,3093,3,14
0,3116,2,8.5
0,3259,1,3
0,3261,1,3.5
0,3272,4,24
0,3302,1,4
0,3308,4,24
0,3353,2,9
0,3366,5,22
0,3424,5,30
0,3457,5,32
0,3482,4,21
0,3485,2,9
1,115,9,37
1,173,6,32.6666666666667
1,174,1,4
1,205,6,23.5
1,221,6,29
1,250,7,32.5
1,256,4,23.5
1,329,4,26
1,349,2,9
1,369,2,8.5
1,441,2,9.5
1,523,2,9.33333333333333
1,565,1,4.16666666666667
1,609,1,4.4
1,618,1,3.83333333333333
1,785,2,9.25
1,931,3,14
1,943,3,16
1,1030,1,4.25
1,1053,4,26
1,1082,2,8.66666666666667
1,1088,4,19
1,1152,2,10.5
1,1155,2,8.25
1,1196,4,21
1,1267,4,24
1,1292,2,8.66666666666667
1,1361,2,11
1,1369,4,25
1,1390,4,28
1,1451,4,20
1,1470,4,20
1,1774,4,24.5
1,1782,10,46
1,1793,1,4
1,1820,7,29.5
1,1840,7,34.5
1,1942,6,33.5
1,1949,9,40.5
1,1964,2,9.4
1,1967,5,30
1,2023,1,4.75
1,2077,3,14.8
1,2100,4,22.5
1,2102,5,25.5
1,2136,2,9
1,2229,6,23
1,2311,5,25.5
1,2397,4,21
1,2420,5,22
1,2443,3,17
1,2450,3,16
1,2514,1,3.5
1,2517,4,27.5
1,2576,1,3.5
1,2577,1,4
1,2601,1,4.33333333333333
1,2631,2,9.6
1,2677,6,24
1,2680,3,16.3333333333333
1,2692,6,34
1,2698,7,34
1,2720,4,26.5
1,2795,6,35
1,2925,6,28.5
1,2952,2,9.33333333333333
1,2962,5,26
1,3010,2,8.25
1,3012,1,4.6
1,3061,5,27
1,3065,3,14.6666666666667
1,3070,4,27.5
1,3083,5,26
1,3109,2,9.66666666666667
1,3142,1,3.66666666666667
1,3145,6,25
1,3197,3,16
1,3331,4,24.5
1,3352,1,3.6
1,3428,5,29.5
2,51,7,27
2,90,6,29
2,117,10,40
2,148,4,25
2,162,7,28
2,210,4,23
2,445,4,20
2,480,3,16.6666666666667
2,547,3,17
2,658,2,8.66666666666667
2,710,4,27
2,753,3,18
2,757,4,22
2,811,2,10.3333333333333
2,832,2,9.5
2,840,4,28
2,876,5,28
2,960,2,10
2,994,1,5
2,1032,5,33
2,1036,1,3.5
2,1164,5,23
2,1216,3,16
2,1249,2,7
2,1251,2,10
2,1387,3,15
2,1466,3,15
2,1487,1,4.5
2,1494,2,8
2,1519,1,4
2,1683,1,5
2,1751,3,15
2,1809,7,25
2,1822,9,45
2,1826,5,27
2,1834,5,31
2,1844,9,44
2,2109,1,3.6
2,2190,3,16.3333333333333
2,2215,4,25.3333333333333
