posX,posY,depth
1750,4,9
1750,42,8
1750,22,5
1750,79,6
1750,87,4
1750,82,3
1750,106,5
1750,117,9
1750,134,7
1750,123,7
1750,114,1
1750,110,7
1750,178,5
1750,190,6
1750,209,3
1750,207,1
1750,223,8
1750,278,5
1750,391,2
1750,459,6
1750,477,3
1750,482,2
1750,476,2
1750,515,3
1750,534,7
1750,547,9
1750,542,3
1750,588,8
1750,592,4
1750,609,2
1750,601,8
1750,719,3
1750,713,6
1750,738,4
1750,729,6
1750,768,3
1750,764,5
1750,777,5
1750,803,7
1750,887,2
1750,905,3
1750,919,5
1750,1016,6
1750,1093,5
1750,1108,1
1750,1105,8
1750,1154,6
1750,1181,8
1750,1267,1
1750,1265,1
1750,1220,2
1750,1289,7
1750,1297,6
1750,1378,2
1750,1373,2
1750,1397,1
1750,1418,2
1750,1430,1
1750,1466,9
1750,1488,9
1750,1477,5
1750,1465,1
1750,1533,7
1750,1567,6
1750,1578,4
1750,1616,3
1750,1636,7
1750,1652,8
1750,1704,6
1750,1701,3
1751,79,7
1751,87,5
1751,103,8
1751,118,8
1751,134,5
1751,117,7
1751,189,1
1751,181,4
1751,193,1
1751,213,9
1751,257,9
1751,251,7
1751,369,4
1751,386,8
1751,431,3
1751,450,9
1751,477,7
1751,540,8
1751,550,5
1751,555,7
1751,538,1
1751,535,5
1751,630,4
1751,709,6
1751,725,2
1751,737,7
1751,836,1
1751,830,4
1751,826,3
1751,881,5
1751,921,2
1751,966,7
1751,1009,7
1751,1025,9
1751,1047,6
1751,1031,2
1751,1069,6
1751,1077,1
1751,1073,9
1751,1144,5
1751,1144,8
1751,1141,5
1751,1235,5
1751,1289,5
1751,1283,2
1751,1364,2
1751,1383,8
1751,1398,5
1751,1448,3
1751,1453,9
1751,1471,7
1751,1483,9
1751,1463,9
1751,1512,2
1751,1597,2
1751,1620,3
1751,1702,6
1752,55,2
1752,64,9
1752,87,7
1752,80,2
1752,123,2
1752,133,8
1752,148,7
1752,180,5
1752,214,4
1752,265,7
1752,316,2
1752,324,5
1752,351,4
1752,348,3
1752,437,5
1752,485,6
1752,561,6
1752,587,8
1752,586,5
1752,626,3
1752,650,7
1752,668,4
1752,662,8
1752,715,9
1752,743,8
1752,772,6
1752,732,9
1752,796,1
1752,792,5
1752,831,8
1752,824,7
1752,897,4
1752,913,7
1752,912,7
1752,937,5
1752,977,4
1752,998,1
1752,1013,1
1752,1026,1
1752,1061,6
1752,1067,4
1752,1150,1
1752,1216,4
1752,1214,6
1752,1308,8
1752,1350,2
1752,1342,6
1752,1369,9
1752,1377,1
1752,1413,5
1752,1423,4
1752,1411,3
1752,1503,9
1752,1531,6
1752,1541,3
1752,1540,3
1752,1569,8
1752,1636,2
1752,1675,4
1752,1691,4
1752,1690,2
1752,1717,1
1753,27,3
1753,88,3
1753,93,7
1753,127,2
1753,187,7
1753,185,2
1753,240,6
1753,306,7
1753,339,9
1753,389,4
1753,418,9
0,1790,6
0,1779,4
0,1779,7
0,1772,9
0,1880,1
0,1942,5
0,1993,9
0,2008,1
0,2047,4
0,2044,3
0,2079,4
0,2072,5
0,2146,4
0,2178,8
0,2171,5
0,2237,1
0,2237,2
0,2285,9
0,2296,1
0,2294,7
0,2313,2
0,2338,1
0,2430,5
0,2448,3
0,2475,5
0,2522,5
0,2531,2
0,2540,2
0,2663,6
0,2673,2
0,2702,2
0,2712,4
0,2701,6
0,2884,5
0,2893,3
0,2904,3
0,2913,4
0,2921,1
0,2920,9
0,2931,8
0,2968,3
0,2960,2
0,2983,1
0,2983,6
0,3004,3
0,2991,9
0,3020,2
0,3051,4
0,3093,3
0,3105,9
0,3124,9
0,3116,2
0,3114,8
0,3235,6
0,3259,1
0,3247,8
0,3261,1
0,3272,4
0,3308,4
0,3302,1
0,3353,2
0,3366,5
0,3424,5
0,3457,5
0,3485,2
0,3482,4
1,1778,8
1,1793,1
1,1774,4
1,1820,7
1,1840,7
1,1949,9
1,1968,8
1,1967,5
1,1986,8
1,1964,2
1,1942,6
1,2023,1
1,2077,3
1,2100,4
1,2102,5
1,2136,2
1,2161,8
1,2229,6
1,2314,8
1,2311,5
1,2364,6
1,2397,4
1,2420,5
1,2430,8
1,2450,3
1,2443,3
1,2517,4
1,2514,1
1,2577,1
1,2576,1
1,2601,1
1,2623,8
1,2631,2
1,2680,3
1,2677,6
1,2698,7
1,2720,4
1,2692,6
1,2747,9
1,2795,6
1,2845,9
1,2925,6
1,2952,2
1,2962,5
1,3000,9
1,3012,1
1,3010,2
1,3070,4
1,3065,3
1,3083,5
1,3061,5
1,3109,2
1,3106,8
1,3145,6
1,3142,1
1,3197,3
1,3211,8
1,3225,9
1,3331,4
1,3352,1
1,3428,5
1,3465,9
2,1751,3
2,1809,7
2,1826,5
2,1834,5
2,1844,9
2,1822,9
2,1970,7
2,2019,8
2,2061,9
2,2109,1
2,2190,3
2,2215,4
2,2241,8
2,2276,2
2,2324,3
2,2333,1
2,2401,4
2,2448,6
2,2444,9
2,2540,4
2,2546,5
2,2563,8
2,2579,6
2,2634,8
2,2649,1
2,2645,1
2,2696,5
2,2688,8
2,2728,6
2,2738,3
2,2726,2
2,2726,4
2,2799,1
2,2802,4
2,2866,8
2,2887,6
2,2886,6
2,2904,7
2,2931,9
2,2991,4
2,2994,8
2,3013,5
2,2992,3
2,3039,5
2,3092,9
2,3137,3
2,3185,4
2,3227,1
2,3247,8
2,3311,4
2,3371,3
2,3378,3
2,3406,8
2,3393,1
2,3392,6
2,3451,5
3,1756,2
3,1771,7
3,1791,1
3,1827,4
3,1845,5
3,1874,8
3,1886,1
3,1934,2
3,1991,4
3,2016,5
3,2016,7
3,2070,3
3,2076,9
3,2089,9
3,2107,8
3,2030,1
0,38,5
0,46,9
0,69,3
0,99,1
0,95,7
0,102,7
0,121,3
0,205,4
0,215,5
0,228,4
0,213,5
0,249,7
0,245,1
0,290,9
0,311,8
0,376,5
0,403,3
0,428,4
0,439,7
0,436,1
0,424,2
0,532,2
0,630,3
0,669,6
0,701,1
0,730,4
0,766,5
0,781,2
0,809,7
0,848,1
0,841,3
0,923,1
0,1028,6
0,1075,4
0,1074,6
0,1103,7
0,1124,4
